,標普500,標普500期貨,紐約原油近月,布倫特原油近月,熱燃油近月,天然氣近月,黃金近月,白金近月,白銀近月,高級銅近月,鈀金近月,玉米近月,小麥近月,稻近月,黃豆近月,瘦肉豬近月,飼養牛近月,活牛近月,可可豆近月,咖啡近月,棉花近月,11號糖近月,隨機長度木材近月,聯邦資金有效利率,美元指數,1年期國債殖利率,10年期國債殖利率,30年期國債殖利率,10/1年期國債殖利率差,30/1年期國債殖利率差,CPI,PPI,非農業就業人數,失業率,GDP,時間序列
2011-10-17,1200.8599853515625,1194.0,86.37999725341797,110.16000366210938,3.0136001110076904,3.687999963760376,1675.5,1547.300048828125,31.791000366210938,3.373500108718872,616.1500244140625,640.5,624.25,1652.5,1253.0,90.69999694824219,140.14999389648438,121.3499984741211,2622.0,234.0,100.36000061035156,27.790000915527344,224.3000030517578,0.07,77.13999938964844,0.11,2.077741935483871,3.073225806451613,1.9677419354838708,2.963225806451613,226.96625806451613,201.25483870967741,132631.32258064515,8.696774193548388,15881.668217391305,4307
2011-10-18,1225.3800048828125,1223.0,88.33999633789062,111.1500015258789,3.0276999473571777,3.552999973297119,1651.699951171875,1536.699951171875,31.801000595092773,3.3554999828338623,619.4000244140625,644.0,625.25,1626.0,1250.75,90.94999694824219,139.75,120.7249984741211,2571.0,231.5,100.18000030517578,27.850000381469727,228.6999969482422,0.07,77.12999725341797,0.11,2.073225806451613,3.069677419354839,1.9632258064516128,2.959677419354839,226.9797741935484,201.26451612903224,132635.96774193548,8.690322580645162,15884.130793478262,4308
2011-10-19,1209.8800048828125,1206.5,86.11000061035156,108.38999938964844,2.9811999797821045,3.5859999656677246,1646.0,1519.0999755859375,31.25200080871582,3.253999948501587,607.9000244140625,638.5,619.5,1645.0,1225.0,90.07499694824219,139.1999969482422,121.4000015258789,2603.0,236.14999389648438,99.72000122070312,26.969999313354492,222.0,0.07,77.11000061035156,0.11,2.0687096774193545,3.0661290322580643,1.9587096774193544,2.9561290322580644,226.99329032258066,201.2741935483871,132640.61290322582,8.683870967741935,15886.593369565217,4309
2011-10-20,1215.3900146484375,1210.0,85.30000305175781,109.76000213623047,3.030100107192993,3.630000114440918,1611.9000244140625,1486.9000244140625,30.266000747680664,3.054500102996826,583.9000244140625,649.5,630.75,1631.5,1225.0,89.9749984741211,139.27499389648438,121.44999694824219,2562.0,231.64999389648438,96.86000061035156,26.799999237060547,216.1999969482422,0.07,76.97000122070312,0.11,2.0641935483870966,3.0625806451612902,1.9541935483870965,2.9525806451612904,227.0068064516129,201.28387096774193,132645.25806451612,8.67741935483871,15889.055945652173,4310
2011-10-21,1238.25,1235.25,87.4000015258789,109.55999755859375,3.0174999237060547,3.628999948501587,1635.0999755859375,1503.699951171875,31.17300033569336,3.2190001010894775,617.75,649.25,632.0,1640.5,1212.25,89.6500015258789,139.39999389648438,121.92500305175781,2566.0,244.85000610351562,97.0999984741211,26.479999542236328,220.0,0.07,76.30000305175781,0.11,2.0596774193548386,3.059032258064516,1.9496774193548385,2.9490322580645163,227.02032258064517,201.29354838709676,132649.90322580645,8.670967741935485,15891.51852173913,4311
2011-10-24,1254.18994140625,1247.0,91.2699966430664,111.44999694824219,3.0546000003814697,3.6040000915527344,1651.5,1538.699951171875,31.6200008392334,3.447000026702881,638.0999755859375,651.0,642.5,1690.5,1226.75,88.82499694824219,139.85000610351562,122.94999694824219,2627.0,250.8000030517578,97.94000244140625,27.100000381469727,223.5,0.07,76.0199966430664,0.11,2.0461290322580643,3.0483870967741935,1.9361290322580642,2.9383870967741936,227.06087096774195,201.32258064516128,132663.83870967742,8.651612903225807,15898.90625,4314
2011-10-25,1229.050048828125,1224.5,93.16999816894531,110.91999816894531,3.0501999855041504,3.6579999923706055,1699.5999755859375,1565.5,33.034000396728516,3.4189999103546143,651.7000122070312,650.75,636.25,1710.0,1225.5,87.8499984741211,139.64999389648438,122.0999984741211,2636.0,236.5500030517578,99.68000030517578,26.940000534057617,220.6999969482422,0.07,76.25,0.11,2.0416129032258064,3.0448387096774194,1.9316129032258063,2.9348387096774196,227.0743870967742,201.33225806451614,132668.48387096773,8.64516129032258,15901.368826086957,4315
2011-10-26,1242.0,1237.5,90.19999694824219,108.91000366210938,3.0157999992370605,3.5899999141693115,1722.699951171875,1594.0999755859375,33.29100036621094,3.48799991607666,645.75,637.25,619.5,1688.5,1210.5,87.0250015258789,139.72500610351562,121.05000305175781,2693.0,233.6999969482422,100.31999969482422,26.350000381469727,220.3000030517578,0.08,76.19999694824219,0.11,2.0370967741935484,3.0412903225806454,1.9270967741935483,2.9312903225806455,227.08790322580646,201.34193548387097,132673.12903225806,8.638709677419355,15903.831402173913,4316
2011-10-27,1284.5899658203125,1282.5,93.95999908447266,112.08000183105469,3.098400115966797,3.5239999294281006,1746.699951171875,1637.5999755859375,35.095001220703125,3.688999891281128,669.75,651.5,644.0,1694.0,1235.0,86.6500015258789,139.9250030517578,120.75,2756.0,234.60000610351562,104.31999969482422,26.860000610351562,223.10000610351562,0.07,74.87000274658203,0.11,2.03258064516129,3.037741935483871,1.92258064516129,2.927741935483871,227.10141935483873,201.3516129032258,132677.7741935484,8.63225806451613,15906.29397826087,4317
2011-10-28,1285.0899658203125,1281.0,93.31999969482422,109.91000366210938,3.0592000484466553,3.9230000972747803,1746.199951171875,1641.800048828125,35.27000045776367,3.7019999027252197,668.25,655.0,644.5,1674.0,1217.0,86.67500305175781,141.10000610351562,120.94999694824219,2748.0,235.14999389648438,104.37000274658203,26.149999618530273,222.8000030517578,0.07,75.08999633789062,0.11,2.028064516129032,3.0341935483870968,1.918064516129032,2.924193548387097,227.11493548387097,201.36129032258066,132682.4193548387,8.625806451612902,15908.756554347827,4318
